,city,year,month,day,hour,title,city_sector,address,intersection,postal_code
100,Ottawa,2018,5,7,NA,Toronto Symphony Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
101,Ottawa,2018,5,10,NA,Mozart à la Haydn,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
102,Ottawa,2018,5,17,NA,Let’s Dance,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
103,Ottawa,2018,5,23,NA,"Emanuel Ax’s ""Emperor Concerto""",Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
104,Ottawa,2018,5,25,NA,Vancouver Symphony Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
105,Ottawa,2018,5,26,NA,Superheroes,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
106,Ottawa,2017,4,18,NA,Urban Organic Gardening Seminars 2017,Downtown/Central,"110 Laurier Avenue, West","110 Laurier Avenue, West",K1P 1J1
107,Ottawa,2017,5,13,NA,Celebration!!,West Ottawa,20 Young Road,20 Young Road,K2L 1W1
108,Ottawa,2017,4,24,NA,Seven: A documentary play,East Ottawa,299 Montreal Rd.,299 Montreal Rd.,K1L 6B8
109,Ottawa,2017,4,23,NA,Ottawa Welcomes the World (Turkish Days) and Children's Day ,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
110,Ottawa,2017,4,23,NA,Ottawa Welcomes the World (Turkish Days) and Children's Day ,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
111,Ottawa,2017,4,30,NA,The Split - Matinee Concert,NA,420 Riverside Drive,420 Riverside Drive,J0X 3G0
112,Ottawa,2017,6,17,NA,Ottawa Craft Beer Run,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
113,Ottawa,2017,4,28,NA,Roddy Ellias and Lorne Lofsky concert,Gatineau Sector,80 Chemin Summer,80 Chemin Summer,J8V 3J3
114,Ottawa,2017,5,13,NA,A Choral Celebration,East Ottawa,1111 Orleans Boulevard,1111 Orleans Boulevard,K1C 7C8
115,Ottawa,2017,4,22,NA,National Capital Network of Sculptors,East Ottawa,210 Blackburn avenue,210 Blackburn avenue,K1N 8A8
116,Ottawa,2017,5,25,NA,"Sister Act, The Musical",West Ottawa,101 Centrepointe Drive,101 Centrepointe Drive,K2G 5K7
117,Ottawa,2017,5,13,NA,Ste-Quequepart,Downtown/Central,454 King Edward Avenue,454 King Edward Avenue,K1N 7M8
118,Ottawa,2017,5,13,NA,Moonfruits present Ste-Quequepart,Downtown/Central,454 King Edward Avenue,454 King Edward Avenue,K1N 7M8
119,Ottawa,2017,4,23,NA,Canada’s Capital through the Years,East Ottawa,245 Centrum Boulevard,245 Centrum Boulevard,K1E 0A1
120,Ottawa,2017,5,13,NA,Science Odyssey Funfest,Downtown/Central,580 Booth Street,580 Booth Street,K1A 0E4
121,Ottawa,2017,5,8,NA,Trans-Canada:  Songs that Move Us,Downtown/Central,507 Bank Street,507 Bank Street,K2P 1Z5
122,Ottawa,2017,5,27,NA,Strings!,Downtown/Central,1830 Kilborn Ave,1830 Kilborn Ave,K1H 6N4
123,Ottawa,2017,5,19,NA,Heritage Trades: Can You Build It?,West Ottawa,16 Rowley Avenue,16 Rowley Avenue,K2G 1L9
124,Ottawa,2017,5,30,NA,Artistic Explorations by Erika Farkas,West Ottawa,"1701 Woodroffe Avenue, Nepean Sportsplex","1701 Woodroffe Avenue, Nepean Sportsplex",K2G 1W2
125,Ottawa,2017,6,3,NA,Make-A-Wish Rope For Hope,East Ottawa,200 Coventry Road,200 Coventry Road,K1K 4S3
126,Ottawa,2017,6,2,NA,Kitchi Blanket Exercise,Downtown/Central,Wellington Street,Wellington Street,K1A 0A9
127,Ottawa,2017,4,23,NA,"A Mix of Music for Recorders, Viols and Voices workshop",West Ottawa,630 Island Park Drive,630 Island Park Drive,K1Y 0B7
128,Ottawa,2017,5,5,NA,Ciné-club « Mustang »,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6
129,Ottawa,2017,5,19,NA,Ciné-club - Chocolat,Downtown/Central,352 MacLaren Street,352 MacLaren Street,K2P 0M6
130,Ottawa,2017,4,30,NA,Ottawa Youth Orchestra: Concertos Galore!,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5
131,Ottawa,2017,5,6,NA,Kanata Symphony Orchestra Concert,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1
132,Ottawa,2017,5,4,NA,VASA SENSUM: Kye-Yeon Son Retrospective Exhibition - Artist Talk and Vernissage,Downtown/Central,150 Elgin Street,150 Elgin Street,K2P 1L4
133,Ottawa,2017,5,6,NA,Nature Awakens,West Ottawa,1500 Shea Rd.,1500 Shea Rd.,K2S 1B9
134,Ottawa,2017,4,25,NA,The Jenn Hayward Show Live!,Downtown/Central,292 Elgin Street,292 Elgin Street,K2P 1M3
135,Ottawa,2017,5,13,NA,Canada: Something to Sing About!,West Ottawa,207 Woodroffe Avenue,207 Woodroffe Avenue,K2A 3V1
136,Ottawa,2017,5,2,NA,Late Bloomers,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4
137,Ottawa,2017,10,1,NA,Raffi! 40 Years of Singable Songs!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
138,Ottawa,2017,6,3,NA,Fire Fighter Day,Rural East,2940 Old Montreal Road,2940 Old Montreal Road,K4C 1G3
139,Ottawa,2017,6,21,NA,The Ottawa Humane Society Garden Party,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
140,Ottawa,2017,5,16,NA,Signatures Series: Interview with Raymond Chrétien,Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4
141,Ottawa,2017,5,17,NA,"Running on Empty: Canada and the Indochinese Refugees, 1975–1980",Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4
142,Ottawa,2017,4,29,NA,All About the Tempo,Downtown/Central,650 Lyon Street South,650 Lyon Street South,K1S 3Z7
143,Ottawa,2017,5,26,NA,Venus & Adonis,Downtown/Central,15 Aylmer Avenue,15 Aylmer Avenue,K1S 3X1
144,Ottawa,2017,5,5,NA,Experience Mexico,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
145,Ottawa,2017,6,3,NA,100in1day Festival ,Region Wide,-,-,K1A 0A4
146,Ottawa,2017,5,25,NA,Telfer 10 - Trivia Night,Downtown/Central,1000 Exhibition Way,1000 Exhibition Way,K1S 5J3
147,Ottawa,2017,5,5,NA,Canterbury High School Community Fun Fair,Downtown/Central,900 Canterbury Avenue,900 Canterbury Avenue,K1G 3A7
148,Ottawa,2017,5,12,NA,Wakefield - La Pêche Writers Festival,Gatineau Park/Chelsea,-,-,J0X 3G0
149,Ottawa,2017,5,5,NA,"Kye-Yeon Son, A Retrosp​e​ctive Jewellery Exhibition​",Downtown/Central,13 Murray St.,13 Murray St.,K1N 9M5
150,Ottawa,2017,5,13,NA,Ottawa Dance Collective's Year-End Showcase:  In The News,Downtown/Central,133 Seraphin Marion,133 Seraphin Marion,K1N 6N5
